train/learning_rate,_timestamp,train/num_tokens,train/global_step,_step,train/loss,train/grad_norm,train/mean_token_accuracy,_runtime,train/epoch,eval/accuracy
0.0001,1765917871.096072,36908485.0,237.0,236,0.8275598287582397,0.011228127405047417,0.7905202955007553,1749.86255059,0.5080385852090032,
0.0001,1765917878.0141392,37064151.0,238.0,237,0.7812804579734802,0.014097956009209156,0.8032370954751968,1756.780606333,0.5101822079314041,
0.0001,1765917884.624458,37217517.0,239.0,238,0.8274470567703247,0.011468211188912392,0.7892956286668777,1763.390956816,0.5123258306538049,
0.0001,1765917890.5299363,37367961.0,240.0,239,0.7753586173057556,0.01143505796790123,0.8018639534711838,1769.296414859,0.5144694533762058,
0.0001,1765917897.8382802,37526897.0,241.0,240,0.8152949810028076,0.013046217150986195,0.7916249930858612,1776.60475177,0.5166130760986066,
0.0001,1765917904.8305163,37685668.0,242.0,241,0.8710107803344727,0.011333146132528782,0.7778175324201584,1783.596991852,0.5187566988210075,
0.0001,1765917911.4782848,37839489.0,243.0,242,0.8212277293205261,0.01103245560079813,0.7918933033943176,1790.244771432,0.5209003215434084,
0.0001,1765917918.6512864,37997238.0,244.0,243,0.8459605574607849,0.013522437773644924,0.7844289988279343,1797.417775899,0.5230439442658092,
0.0001,1765917927.3209126,38168011.0,245.0,244,0.8863057494163513,0.010566527023911476,0.774683877825737,1806.087391747,0.5251875669882101,
0.0001,1765917934.2876208,38326230.0,246.0,245,0.8358097672462463,0.012515382841229439,0.7886748909950256,1813.054084252,0.5273311897106109,
0.0001,1765917941.8072777,38478252.0,247.0,246,0.782726526260376,0.011089270934462547,0.8015432506799698,1820.573733057,0.5294748124330118,
0.0001,1765917947.9786987,38625546.0,248.0,247,0.8061033487319946,0.01167816948145628,0.7951230704784393,1826.745186535,0.5316184351554126,
0.0001,1765917955.3317327,38771391.0,249.0,248,0.8257334232330322,0.012205139733850956,0.7888436168432236,1834.098225942,0.5337620578778135,
0.0001,1765917963.1046164,38929652.0,250.0,249,0.8322546482086182,0.01666896604001522,0.7873963117599487,1841.87107704,0.5359056806002144,
0.0001,1765917969.619863,39078825.0,251.0,250,0.8364424705505371,0.013228711672127247,0.7841167747974396,1848.386343018,0.5380493033226152,
0.0001,1765917977.367274,39250764.0,252.0,251,0.849986732006073,0.020508931949734688,0.7820090800523758,1856.133740316,0.5401929260450161,
0.0001,1765917984.2032108,39401652.0,253.0,252,0.8082088232040405,0.012089472264051437,0.794121265411377,1862.969700715,0.5423365487674169,
0.0001,1765917991.600133,39556368.0,254.0,253,0.8189255595207214,0.01837998442351818,0.7924887388944626,1870.366598485,0.5444801714898178,
0.0001,1765917998.3573048,39716091.0,255.0,254,0.7985213398933411,0.0146107729524374,0.7953297048807144,1877.123788852,0.5466237942122186,
0.0001,1765918004.54377,39864668.0,256.0,255,0.8250927925109863,0.01901312917470932,0.7913960516452789,1883.310264176,0.5487674169346195,
0.0001,1765918011.9973931,40026842.0,257.0,256,0.8551968336105347,0.01594565063714981,0.7796659767627716,1890.763860771,0.5509110396570204,
0.0001,1765918019.3257017,40185219.0,258.0,257,0.8205860257148743,0.014681029133498669,0.7908193916082382,1898.092189978,0.5530546623794212,
0.0001,1765918026.0501804,40338073.0,259.0,258,0.8395470380783081,0.014951218850910664,0.7849351912736893,1904.816646595,0.5551982851018221,
0.0001,1765918033.4779253,40501465.0,260.0,259,0.849790096282959,0.011378392577171326,0.7828629165887833,1912.244392824,0.5573419078242229,
0.0001,1765918040.8239388,40657227.0,261.0,260,0.8324878811836243,0.01471314299851656,0.7877009958028793,1919.590417282,0.5594855305466238,
0.0001,1765918048.0174215,40807442.0,262.0,261,0.801110029220581,0.011776461265981197,0.796356275677681,1926.78390292,0.5616291532690246,
0.0001,1765918055.396524,40956359.0,263.0,262,0.837544322013855,0.013203021138906479,0.785531610250473,1934.162995503,0.5637727759914255,
0.0001,1765918063.376883,41113297.0,264.0,263,0.8290108442306519,0.012863146141171455,0.7874937355518341,1942.143389969,0.5659163987138264,
0.0001,1765918070.7814808,41267327.0,265.0,264,0.8296535015106201,0.012062991969287395,0.7881464958190918,1949.547990378,0.5680600214362272,
0.0001,1765918076.5026476,41416137.0,266.0,265,0.7935636639595032,0.015561549924314022,0.7985288202762604,1955.269134982,0.5702036441586281,
0.0001,1765918083.723462,41572626.0,267.0,266,0.8144084811210632,0.011486203409731388,0.7926307767629623,1962.489928733,0.572347266881029,
0.0001,1765918090.606681,41724870.0,268.0,267,0.7988783717155457,0.01258121058344841,0.7986365258693695,1969.37319536,0.5744908896034298,
0.0001,1765918098.1756663,41882397.0,269.0,268,0.7888908982276917,0.015298156067728996,0.7998127341270447,1976.942120808,0.5766345123258306,
0.0001,1765918105.2870476,42044695.0,270.0,269,0.8389303088188171,0.011602663435041904,0.782807007431984,1984.053518414,0.5787781350482315,
0.0001,1765918113.005972,42195750.0,271.0,270,0.8543247580528259,0.012557676061987877,0.7828767150640488,1991.772437089,0.5809217577706324,
0.0001,1765918120.3485453,42347658.0,272.0,271,0.8452483415603638,0.013495286926627159,0.7870142906904221,1999.115059793,0.5830653804930332,
0.0001,1765918128.0261083,42499617.0,273.0,272,0.8498342633247375,0.012516160495579243,0.7814697921276093,2006.792577914,0.5852090032154341,
0.0001,1765918135.3322017,42648060.0,274.0,273,0.7959651947021484,0.012057029642164707,0.7974954843521118,2014.09869941,0.587352625937835,
0.0001,1765918142.1908522,42799438.0,275.0,274,0.8176182508468628,0.015514040365815163,0.7905549705028534,2020.957304613,0.5894962486602358,
0.0001,1765918149.1983724,42945465.0,276.0,275,0.8093223571777344,0.013719378970563412,0.794487252831459,2027.964874336,0.5916398713826366,
0.0001,1765918155.8955197,43089377.0,277.0,276,0.7994158267974854,0.018623705953359604,0.7963502109050751,2034.662003255,0.5937834941050375,
0.0001,1765918165.3508797,43253006.0,278.0,277,0.8590706586837769,0.012453553266823292,0.7818407714366913,2044.117371118,0.5959271168274384,
0.0001,1765918173.0046623,43420433.0,279.0,278,0.8146059513092041,0.012301888316869736,0.7921821027994156,2051.771106764,0.5980707395498392,
0.0001,1765918180.272146,43577695.0,280.0,279,0.8183936476707458,0.01634451001882553,0.7911361008882523,2059.038622787,0.6002143622722401,
0.0001,1765918189.014723,43738482.0,281.0,280,0.8124501705169678,0.013067989610135555,0.79129458963871,2067.781217486,0.602357984994641,
0.0001,1765918197.3090763,43895774.0,282.0,281,0.820554256439209,0.015963584184646606,0.7899740487337112,2076.07556359,0.6045016077170418,
