train/learning_rate,train/mean_token_accuracy,_runtime,_timestamp,train/loss,train/grad_norm,train/num_tokens,train/global_step,train/epoch,_step,eval/accuracy
1e-05,0.8033188283443451,11686.965533251,1765928242.096739,0.7329691648483276,0.012933487072587013,53512592.0,344.0,0.737406216505895,343,
1e-05,0.7947842478752136,11724.506099514,1765928279.6374352,0.774599015712738,0.02036181651055813,53675222.0,345.0,0.7395498392282959,344,
1e-05,0.7885755598545074,11765.545520681,1765928320.676901,0.7874671816825867,0.02094659022986889,53837794.0,346.0,0.7416934619506966,345,
1e-05,0.8042110800743103,11801.714957246,1765928356.8463426,0.7374007701873779,0.02145298570394516,53990810.0,347.0,0.7438370846730975,346,
1e-05,0.8093149363994598,11839.337968507,1765928394.4693763,0.7121598124504089,0.012537268921732903,54142452.0,348.0,0.7459807073954984,347,
1e-05,0.8097065091133118,11876.703289151,1765928431.8345282,0.7098215818405151,0.01673930697143078,54294279.0,349.0,0.7481243301178992,348,
1e-05,0.8133859634399414,11905.51504766,1765928460.646269,0.7045082449913025,0.02190500497817993,54445597.0,350.0,0.7502679528403001,349,
1e-05,0.8046793341636658,11942.6161243,1765928497.7475045,0.737331748008728,0.01354246772825718,54603343.0,351.0,0.752411575562701,350,
1e-05,0.8141499161720276,11976.406200523,1765928531.5375965,0.6927142143249512,0.01192877534776926,54759468.0,352.0,0.7545551982851019,351,
1e-05,0.8067723214626312,12010.550286679,1765928565.6816423,0.7142612934112549,0.014059859327971935,54913059.0,353.0,0.7566988210075026,352,
1e-05,0.8056782186031342,12048.299302378,1765928603.4304724,0.7268630862236023,0.016545936465263367,55070490.0,354.0,0.7588424437299035,353,
1e-05,0.8006208539009094,12084.340379566,1765928639.471503,0.7474554181098938,0.013628209941089153,55234816.0,355.0,0.7609860664523044,354,
1e-05,0.8021610677242279,12111.492196519,1765928666.6234348,0.7372552156448364,0.02494017966091633,55387388.0,356.0,0.7631296891747053,355,
1e-05,0.812086284160614,12146.244890139,1765928701.3761272,0.7070797681808472,0.013420931063592434,55538411.0,357.0,0.7652733118971061,356,
1e-05,0.8070825636386871,12183.305816045,1765928738.4371185,0.7184938788414001,0.03380925580859184,55688433.0,358.0,0.767416934619507,357,
1e-05,0.8053771257400513,12211.786590536,1765928766.9178152,0.7241286635398865,0.01964360848069191,55839265.0,359.0,0.7695605573419079,358,
1e-05,0.8162358701229095,12247.356312711,1765928802.4876342,0.6868735551834106,0.013114236295223236,55990505.0,360.0,0.7717041800643086,359,
1e-05,0.7995054423809052,12286.68346924,1765928841.8146875,0.7521313428878784,0.01442402508109808,56160090.0,361.0,0.7738478027867095,360,
1e-05,0.8060432970523834,12316.408923898,1765928871.540277,0.7249980568885803,0.033534593880176544,56315482.0,362.0,0.7759914255091104,361,
1e-05,0.7982696294784546,12354.769174907,1765928909.9005253,0.753322958946228,0.012934639118611813,56478778.0,363.0,0.7781350482315113,362,
1e-05,0.7980102896690369,12393.350021362,1765928948.4813685,0.7436704635620117,0.021407319232821465,56640621.0,364.0,0.7802786709539121,363,
1e-05,0.8008250892162323,12432.648710721,1765928987.7800252,0.7435275316238403,0.018149614334106445,56808271.0,365.0,0.782422293676313,364,
1e-05,0.8039075136184692,12469.549609936,1765929024.680965,0.731541633605957,0.01630612649023533,56962569.0,366.0,0.7845659163987139,365,
1e-05,0.8033787906169891,12500.104740599,1765929055.2359855,0.7310526371002197,0.014427095651626587,57113382.0,367.0,0.7867095391211146,366,
1e-05,0.7970825433731079,12540.590221194,1765929095.721563,0.7540459632873535,0.01508601475507021,57283115.0,368.0,0.7888531618435155,367,
1e-05,0.8093697130680084,12576.169477878,1765929131.3007376,0.7081024050712585,0.018027381971478462,57431980.0,369.0,0.7909967845659164,368,
1e-05,0.8026033341884613,12617.242510301,1765929172.3737767,0.7386361360549927,0.013434800319373608,57593151.0,370.0,0.7931404072883173,369,
1e-05,0.8037911355495453,12659.046315347,1765929214.1775584,0.7368305921554565,0.013222143985331059,57769554.0,371.0,0.7952840300107181,370,
1e-05,0.8068645298480988,12700.131595211,1765929255.262892,0.7271167039871216,0.014206820167601109,57930187.0,372.0,0.797427652733119,371,
1e-05,0.8082453906536102,12740.776043844,1765929295.9074306,0.7168280482292175,0.016383057460188866,58089895.0,373.0,0.7995712754555199,372,
1e-05,0.8119463920593262,12767.478382927,1765929322.6097217,0.7040634751319885,0.015178232453763485,58237921.0,374.0,0.8017148981779206,373,
1e-05,0.8090385794639587,12801.62505225,1765929356.7564034,0.7119337320327759,0.012947970069944859,58386574.0,375.0,0.8038585209003215,374,
1e-05,0.812299370765686,12832.208382216,1765929387.3397553,0.7036324143409729,0.017258748412132263,58531794.0,376.0,0.8060021436227224,375,
1e-05,0.8073423504829407,12862.025221718,1765929417.1565535,0.7161063551902771,0.01710774004459381,58679304.0,377.0,0.8081457663451233,376,
1e-05,0.801058292388916,12895.42461288,1765929450.5559556,0.7488547563552856,0.01337443944066763,58827963.0,378.0,0.8102893890675241,377,
1e-05,0.8144594728946686,12925.105147489,1765929480.2364976,0.7032530307769775,0.01452468242496252,58968065.0,379.0,0.812433011789925,378,
1e-05,0.8072649240493774,12958.472842611,1765929513.6041892,0.7266930341720581,0.016577666625380516,59119596.0,380.0,0.8145766345123259,379,
1e-05,0.80583056807518,12993.068288773,1765929548.1996496,0.7219859957695007,0.016415724530816078,59282269.0,381.0,0.8167202572347267,380,
1e-05,0.8087202906608582,13034.096099283,1765929589.2273178,0.7193089127540588,0.012474034912884235,59449069.0,382.0,0.8188638799571275,381,
1e-05,0.8057684600353241,13064.376748819,1765929619.5078764,0.7252148389816284,0.01422486174851656,59602942.0,383.0,0.8210075026795284,382,
1e-05,0.8025017082691193,13096.331612065,1765929651.4629679,0.7387300729751587,0.01597665436565876,59763486.0,384.0,0.8231511254019293,383,
1e-05,0.8107920289039612,13132.476557535,1765929687.6077006,0.7057774066925049,0.013654242269694805,59914007.0,385.0,0.8252947481243301,384,
1e-05,0.8151609003543854,13159.568406241,1765929714.6995955,0.6822391748428345,0.015959948301315308,60056933.0,386.0,0.827438370846731,385,
1e-05,0.8059053122997284,13195.7858574,1765929750.9170933,0.727202832698822,0.012389017269015312,60219888.0,387.0,0.8295819935691319,386,
1e-05,0.8080683946609497,13235.834436883,1765929790.965676,0.7152531147003174,0.0135499257594347,60373832.0,388.0,0.8317256162915327,387,
1e-05,0.8114141821861267,13263.941064998,1765929819.0723898,0.7102228999137878,0.02290443144738674,60526958.0,389.0,0.8338692390139335,388,
1e-05,0.8107969164848328,13291.485427188,1765929846.6167696,0.7110096216201782,0.013457811437547207,60680957.0,390.0,0.8360128617363344,389,
1e-05,0.8020259141921997,13331.508435459,1765929886.6397989,0.7331953048706055,0.019399169832468033,60844353.0,391.0,0.8381564844587353,390,
1e-05,0.8156672716140747,13357.230208421,1765929912.3614914,0.688869833946228,0.014685998670756817,60988093.0,392.0,0.8403001071811361,391,
1e-05,0.8077427446842194,13388.583192442,1765929943.7144387,0.7173552513122559,0.01400700118392706,61139257.0,393.0,0.842443729903537,392,
1e-05,0.8010229766368866,13423.497243606,1765929978.628492,0.7472875118255615,0.013700021430850029,61294373.0,394.0,0.8445873526259379,393,
1e-05,0.7935862839221954,13461.128532917,1765930016.2599454,0.7714540362358093,0.01560473907738924,61460962.0,395.0,0.8467309753483387,394,
1e-05,0.8190668821334839,13500.320092157,1765930055.4514062,0.6703281402587891,0.013163251802325249,61610443.0,396.0,0.8488745980707395,395,
1e-05,0.8093471825122833,13533.873564862,1765930089.0048022,0.7172272801399231,0.013186386786401272,61767622.0,397.0,0.8510182207931404,396,
1e-05,0.8055986166000366,13561.514827963,1765930116.6460779,0.7294066548347473,0.01454972755163908,61927294.0,398.0,0.8531618435155413,397,
